crop,agrovet,region,phone,email,location
Tomatoes,Kedel,Kakamega,0707605751,delstarfordisaiah@gmail.com,https://www.google.com/maps/search/?api=1&query=Kedel+Agrovet+Kakamega
Tomatoes,Maru Agrovet,Mombasa,0723456789,info@maruagrovet.co.ke,https://www.google.com/maps/search/?api=1&query=Maru+Agrovet+Mombasa+Digo+Road
Tomatoes,Jane Vet Services,Kisumu,0734567890,jane.vet@gmail.com,https://www.google.com/maps/search/?api=1&query=Jane+Vet+Services+Kibuye+Market+Kisumu
Potatoes,Tiba Kamili,Nakuru,0745678901,sales@tibakamili.co.ke,https://www.google.com/maps/search/?api=1&query=Tiba+Kamili+Nakuru+Kenyatta+Ave
Potatoes,Maliktiba Supplies,Eldoret,0756789012,info@maliktiba.com,https://www.google.com/maps/search/?api=1&query=Maliktiba+Supplies+Eldoret+Uganda+Road
Wheat,MIKI,Kitale,0767890123,contact@agroveta.co.ke,https://www.google.com/maps/search/?api=1&query=MIKI+Agrovet+Kitale+Town+Center
Wheat,TENA,Meru,0778901234,sales@agrovetg.co.ke,https://www.google.com/maps/search/?api=1&query=TENA+Agrovet+Meru+Makutano+Junction
Rice,Hassan shop,Garissa,0789012345,info@agroveth.org,https://www.google.com/maps/search/?api=1&query=Hassan+shop+Garissa+Main+Market
Rice,MOHAMED,Isiolo,0790123456,supplies@agroveti.co.ke,https://www.google.com/maps/search/?api=1&query=MOHAMED+Agrovet+Isiolo+Town
Maize,KENYABIGIE,Embu,0701234567,contact@agrovetj.com,https://www.google.com/maps/search/?api=1&query=KENYABIGIE+Agrovet+Embu+Town+Highway
Maize,KE ONE,Nyeri,0712345678,sales@agrovetk.co.ke,https://www.google.com/maps/search/?api=1&query=KE+ONE+Agrovet+Nyeri+Town+CBD
Soybeans,AgrovetIE,Thika,0723456789,info@agrovetl.co.ke,https://www.google.com/maps/search/?api=1&query=AgrovetIE+Thika+Arcade
Soybeans,KARIUKI SHOP,Kiambu,0734567890,contact@agrovetm.com,https://www.google.com/maps/search/?api=1&query=KARIUKI+SHOP+Kiambu+Town
Carrots,WANGUI,Nyandarua,0745678901,sales@agrovetn.co.ke,https://www.google.com/maps/search/?api=1&query=WANGUI+Agrovet+Ol+Kalou+Market
Carrots,BESTIE,Laikipia,0756789012,info@agroveto.org,https://www.google.com/maps/search/?api=1&query=BESTIE+Agrovet+Nanyuki+Town
Onions,NYUMBANI,Turkana,0767890123,supplies@agrovetp.co.ke,https://www.google.com/maps/search/?api=1&query=NYUMBANI+Agrovet+Lodwar+Town
Onions,TWOTAME,West Pokot,0778901234,contact@agrovetq.com,https://www.google.com/maps/search/?api=1&query=TWOTAME+Agrovet+Kapenguria+Makutano
Beans,Genzibaze,Bomet,0789012345,sales@agrovetr.co.ke,https://www.google.com/maps/search/?api=1&query=Genzibaze+Agrovet+Bomet+Town+Center
Beans,ALluru,Kericho,0790123456,info@agrovets.co.ke,https://www.google.com/maps/search/?api=1&query=ALluru+Agrovet+Kericho+Main+Stage
