crop,image_for_crop,usage
Beans,Beans_indoor.png,Used in soups and stews
Beans,Beans_outdoor.png,Used in soups and stews


Maize,Maize_outdoor.jpg,Used for making tortillas and popcorn

Wheat,Wheat_outdoor.jpg,Used for making bread and pasta

Rice,Rice_outdoor.jpg,Used as a staple food in many cultures

Soybeans,Soybeans.jpg,Used for making tofu and soy milk


Potatoes,Potatoes.jpg,Used for making fries and mashed potatoes


Tomatoes,Tomato_indoor.jpg,Used in salads and sauces
Tomatoes,Tomatoes_outdoor.jpg,Used in salads and sauces
Tomatoes,Tomato.jpg,Used in salads and sauces
Tomatoes,Tomatoes.jpg,Used in salads and sauces



Carrots,Carrots.jpg,Used in salads and as a side dish
Carrots,Carrots_outdoor.jpg,Used in salads and as a side dish



Onions,Onions.jpg,Used in cooking for flavor and as a base for many dishes
Onions,Onions_outdoor.jpg,Used in cooking for flavor and as a base for many dishes
