crop,disease,image_location,description,treatment
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/1.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/2.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/3.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/4.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/5.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/6.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/7.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/8.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/9.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/10.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/11.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/12.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/13.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/14.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/15.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/16.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/17.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/18.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/19.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/20.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/21.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/22.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/23.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/24.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/25.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/26.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/27.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/28.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/29.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/30.jpg,White powdery fungal growth on leaves,Fungicides
Cherry,Powdery Mildew,data/crops_diseases/images/Cherry_(including_sour)___Powdery_mildew/31.jpg,White powdery fungal growth on leaves,Fungicides
