crop,growth_stage,age,time_taken,possible_stage_diseases,image
Tomatoes,Seedling,2 weeks,14 days,Early Blight;Late Blight;Septoria Leaf Spot,data/crops_growth_stage/images/Tomatoes_Seedling.jpg
Tomatoes,Vegetative,4 weeks,28 days,Early Blight;Late Blight,data/crops_growth_stage/images/Tomatoes_Vegetative.jpg
Tomatoes,Budding,6 weeks,42 days,Late Blight;Septoria Leaf Spot,data/crops_growth_stage/images/Tomatoes_Budding.jpg
Tomatoes,Flowering,8 weeks,56 days,Early Blight;Late Blight,data/crops_growth_stage/images/Tomatoes_Flowering.jpg
Tomatoes,Fruiting,10 weeks,70 days,Late Blight;Septoria Leaf,data/crops_growth_stage/images/Tomatoes_Fruiting.jpg
Potatoes,Seedling,3 weeks,21 days,Early Blight;Late Blight;Blackleg,data/crops_growth_stage/images/Potatoes_Seedling.jpg
Potatoes,Vegetative,5 weeks,35 days,Early Blight;Late Blight,data/crops_growth_stage/images/Potatoes_Vegetative.jpg
Potatoes,Budding,7 weeks,49 days,Late Blight;Blackleg,data/crops_growth_stage/images/Potatoes_Budding.jpg
Potatoes,Flowering,9 weeks,63 days,Early Blight;Late Blight,data/crops_growth_stage/images/Potatoes_Flowering.jpg
Potatoes,Fruiting,11 weeks,77 days,Late Blight;Blackleg,data/crops_growth_stage/images/Potatoes_Fruiting.jpg
Wheat,Seedling,2 weeks,14 days,Rust;Fusarium Head Blight,data/crops_growth_stage/images/Wheat_Seedling.jpg
Wheat,Vegetative,4 weeks,28 days,Rust;Fusarium Head Blight,data/crops_growth_stage/images/Wheat_Vegetative.jpg
Wheat,Budding,6 weeks,42 days,Fusarium Head Blight,data/crops_growth_stage/images/Wheat_Budding.jpg
Wheat,Flowering,8 weeks,56 days,Rust;Fusarium Head Blight,data/crops_growth_stage/images/Wheat_Flowering.jpg
Wheat,Fruiting,10 weeks,70 days,Rust;Fusarium Head Blight,data/crops_growth_stage/images/Wheat_Fruiting.jpg
Rice,Seedling,3 weeks,21 days,Bacterial Leaf Blight;Rice Blast,data/crops_growth_stage/images/Rice_Seedling.jpg
Rice,Vegetative,5 weeks,35 days,Bacterial Leaf Blight;Rice Blast,data/crops_growth_stage/images/Rice_Vegetative.jpg
Rice,Budding,7 weeks,49 days,Rice Blast,data/crops_growth_stage/images/Rice_Budding.jpg
Rice,Flowering,9 weeks,63 days,Bacterial Leaf Blight;Rice Blast,data/crops_growth_stage/images/Rice_Flowering.jpg
